"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
636,"Archives municipales d'Avignon","1064W","17/07/2008","Archives publiques","Versement",NA,NA,"Domaine public","1 dossier voirie-état remembrement de 1950 ministère de la reconstruction, association syndicale de remembrement d'Avignon-sud, îlots 1 à 23.","Support papier","0,1",1,"2008"
637,"Archives municipales d'Avignon","AV","16/04/2012","Archives privées","Don",NA,NA,"1 DVD de reportage","DVD de l'entretien entre M. Clap et M. Mathias Alcaraz au sujet du mur des offrandes. Entretien du 2 novembre 2011","Support électronique","0,02",1,"2012"
638,"Archives municipales d'Avignon","1096W","06/06/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Direction des actions de maintenance, d'ingénierie, et de sécurité / Maîtrise d'oeuvre, entretien, aménagement (11 boîtes, 58 dossiers, plans)","Support papier","3,5",67,"2012"
639,"Archives municipales d'Avignon","1097W","06/06/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Direction des affaires financières, du contrôle de gestion et de la contractualisation","Support papier","0",0,"2012"
640,"Archives municipales d'Avignon","1098W","12/07/2012","Archives publiques","Versement",NA,NA,"Personnel-gestion des temps","22 articles d'éléments variables de paye (2006 - 2011)","Support électronique","2,7",22,"2012"
641,"Archives municipales d'Avignon","75Z","24/07/2012","Archives privées","Don",NA,NA,"Fonds Farge, René","Carnets de voyage (1966-2000)","Support papier","1",0,"2012"
642,"Archives municipales d'Avignon","2Fi","24/07/2012","Archives publiques","Dévolution",NA,NA,"Dessin imprimé","Planche imprimée d'un relevé du Palais des papes dressé par Henri Nodet","Support papier","0,01",1,"2012"
643,"Archives municipales d'Avignon","134Fi","18/05/2012","Archives privées","Don",NA,NA,"Lot de photographies","Fonds provenant d'une maison de Valréas (1900-1930)","Support papier","0,2",204,"2012"
644,"Archives municipales d'Avignon","1100W","27/07/2012","Archives publiques","Versement",NA,NA,"Secrétariat général","5 articles conseil municipal, conseil de majorité (2004 - 2010)","Support papier","0,5",5,"2012"
645,"Archives municipales d'Avignon","1102W","07/08/2012","Archives publiques","Versement",NA,NA,"Commande publique","40 articles de candidatures et offres non retenues (2010).","Support papier","4",40,"2012"
646,"Archives municipales d'Avignon","1Z44","03/09/2012","Archives privées","Don",NA,NA,"Cahier - album collection","Album de collection consacré aux ""stars"" des années 1950-1960","Support papier","0,05",1,"2012"
647,"Archives municipales d'Avignon","52Z","21/09/2012","Archives privées","Dépôt",NA,NA,"Guichard, Jacques","Dossiers d'architecte, correspondance, plans.","Support papier","4",0,"2012"
648,"Archives municipales d'Avignon","1104W","27/09/2012","Archives publiques","Versement",NA,NA,"Direction administrative des services techniques","Dossiers de suivi des marchés publics (1962-2009).(entrés le 27/09/2012), 1 article d'enregistrement de la correspondance (2007-2010)(ajout 10/10/2012), 8 articles des marchés de restauration du parc des sports (ajout 10/10/2012)","Support papier","14,5",385,"2012"
649,"Archives municipales d'Avignon","1M41","10/10/2012","Archives publiques","Versement",NA,NA,"Gestion du patrimoine","1 plan calque projet de construction d'un hôtel des postes et logement du receveur place Pie (projet approuvé 1887).","Support papier","0,05",1,"2012"
650,"Archives municipales d'Avignon","1103W","18/09/2012","Archives publiques","Versement",NA,NA,"Action culturelle","36 articles de dossiers suivis par le directeur (1963-2007).","Support papier","1",36,"2012"
